0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:59:21 +0900] "GET /0112_bootstrap/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:59:21 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:00:03 +0900] "GET /0112_bootstrap/ex2_bootstrap.html HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:00:03 +0900] "GET /0112_bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:00:03 +0900] "GET /0112_bootstrap/css/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:00:03 +0900] "GET /0112_bootstrap/css/font-awesome.css HTTP/1.1" 200 35134
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:00:03 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:00:03 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:00:03 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.woff?v=4.6.3 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:00:03 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.ttf?v=4.6.3 HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:00:04 +0900] "GET /0112_bootstrap/ex2_bootstrap.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:00:04 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:00:04 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.woff?v=4.6.3 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:00:04 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:00:04 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.ttf?v=4.6.3 HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:00:04 +0900] "GET /0112_bootstrap/ex2_bootstrap.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:00:04 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:00:04 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.woff?v=4.6.3 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:00:04 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.ttf?v=4.6.3 HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:00:04 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:01:02 +0900] "GET /0112_bootstrap/ex2_bootstrap.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:01:02 +0900] "GET /0112_bootstrap/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:01:02 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:01:02 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:01:02 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.woff?v=4.6.3 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [12/Jan/2017:12:01:02 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.ttf?v=4.6.3 HTTP/1.1" 404 1074
